CITY_NAME,S_NAME,dominant,max_count,topN_dominant,topN_max_count,match_type2
小金井市,中町二丁目,医療法人社団　大日会　小金井太陽病院,2154,武蔵野赤十字病院,1334,exact
小金井市,中町三丁目,医療法人社団　大日会　小金井太陽病院,4309,武蔵野赤十字病院,1495,exact
小金井市,中町四丁目,小金井リハビリテーション病院,1527,武蔵野赤十字病院,818,exact
小金井市,前原町二丁目,小金井リハビリテーション病院,2571,武蔵野赤十字病院,789,exact
小金井市,前原町三丁目,小金井リハビリテーション病院,1954,武蔵野赤十字病院,1804,exact
小金井市,本町一丁目,医療法人社団　大日会　小金井太陽病院,5243,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,359,exact
小金井市,本町二丁目,武蔵野赤十字病院,1517,武蔵野赤十字病院,1517,exact
小金井市,本町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,1239,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,624,exact
小金井市,本町四丁目,社会福祉法人　聖ヨハネ会　桜町病院,1221,武蔵野赤十字病院,530,exact
小金井市,本町五丁目,社会福祉法人　聖ヨハネ会　桜町病院,2314,武蔵野赤十字病院,1643,exact
小金井市,本町六丁目,共立診療所,2145,公立昭和病院,543,exact
小金井市,桜町一丁目,社会福祉法人　聖ヨハネ会　桜町病院,4945,公立昭和病院,482,exact
小金井市,桜町二丁目,医療法人社団　欣助会　吉祥寺病院,1186,武蔵野赤十字病院,506,exact
小金井市,桜町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,508,武蔵野赤十字病院,249,exact
小金井市,貫井北町一丁目,武蔵野赤十字病院,918,武蔵野赤十字病院,918,exact
小金井市,貫井北町二丁目,社会福祉法人　聖ヨハネ会　桜町病院,1913,武蔵野赤十字病院,417,exact
小金井市,貫井北町三丁目,社会福祉法人　聖ヨハネ会　桜町病院,1450,武蔵野赤十字病院,970,exact
小金井市,貫井北町四丁目,三多摩医療生活協同組合　国分寺診療所,134,公立昭和病院,44,exact
小平市,小川東町,緑風荘病院,963,公立昭和病院,542,exact
小平市,小川東町三丁目,緑風荘病院,3499,公立昭和病院,736,exact
小平市,小川東町四丁目,国立研究開発法人　国立精神・神経医療研究センター病院,4617,公立昭和病院,989,exact
小平市,小川東町五丁目,緑風荘病院,1983,公立昭和病院,1031,exact
小平市,上水南町一丁目,医療法人社団　武蔵野会　一橋病院,1588,公立昭和病院,452,exact
小平市,上水南町二丁目,国立研究開発法人　国立精神・神経医療研究センター病院,574,公立昭和病院,399,exact
